GeoType,CDTAType,GeogName,GeogNamenoID,Neighborhood,GeoID,Borough,MedianHHIncome,TotalPopulation,LatinXP,WhiteP,BlackP,AmericanIndianP,AsianP,NativeHawaiiP,OtherP,TwoMoreP,
CDTA2020,CD,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),Ridgewood-Maspeth-Middle Village (CD 5 Approximation),Ridgewood-Maspeth-Middle Village,QN05,Queens,"80,384","190,915",38.6,48.6,1.4,0.1,9.1,,0.8,1.5,
CDTA2020,CD,QN06 Forest Hills-Rego Park (CD 6 Approximation),Forest Hills-Rego Park (CD 6 Approximation),Forest Hills-Rego Park,QN06,Queens,"90,483","122,786",16.1,45.7,3.2,0.0,30.0,0.0,0.6,4.4,
CDTA2020,CD,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),Flushing-Murray Hill-Whitestone (CD 7 Approximation),Flushing-Murray Hill-Whitestone,QN07,Queens,"63,493","253,104",17.9,25.3,1.7,0.2,53.1,0.1,0.5,1.2,
CDTA2020,CD,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),Fresh Meadows-Hillcrest-Briarwood,QN08,Queens,"75,109","160,231",19.2,30.5,13.2,0.2,32.2,0.0,1.4,3.3,
CDTA2020,CD,QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),Kew Gardens-Richmond Hill-Woodhaven,QN09,Queens,"77,665","151,879",41.6,17.6,6.7,0.4,25.9,0.0,4.2,3.7,
CDTA2020,CD,QN10 South Ozone Park-Howard Beach (CD 10 Approximation),South Ozone Park-Howard Beach (CD 10 Approximation),South Ozone Park-Howard Beach,QN10,Queens,"86,247","143,380",25.8,20.2,13.4,0.6,26.0,0.1,8.2,5.8,
CDTA2020,CD,QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation),Auburndale-Bayside-Douglaston (CD 11 Approximation),Auburndale-Bayside-Douglaston,QN11,Queens,"91,654","126,110",13.9,37.0,2.3,0.4,44.2,0.0,0.3,1.9,
CDTA2020,CD,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),Jamaica-St. Albans-Hollis (CD 12 Approximation),Jamaica-St. Albans-Hollis,QN12,Queens,"70,293","260,024",16.4,2.4,57.5,0.7,14.7,0.1,4.7,3.5,
CDTA2020,CD,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),Queens Village-Bellerose-Rosedale (CD 13 Approximation),Queens Village-Bellerose-Rosedale,QN13,Queens,"97,246","214,163",13.5,9.4,52.6,0.3,18.0,0.0,2.8,3.3,
CDTA2020,CD,QN14 The Rockaways (CD 14 Equivalent),The Rockaways (CD 14 Equivalent),The Rockaways,QN14,Queens,"63,194","135,784",23.3,34.7,34.4,0.0,3.9,0.0,1.1,2.5,
CDTA2020,JIA,QN80 LaGuardia Airport (JIA 80 Approximation),LaGuardia Airport (JIA 80 Approximation),LaGuardia Airport,QN80,Queens,,0,,,,,,,,,
CDTA2020,JIA,QN81 Flushing Meadows-Corona Park (JIA 81 Approximation),Flushing Meadows-Corona Park (JIA 81 Approximation),Flushing Meadows-Corona Park,QN81,Queens,,0,,,,,,,,,
CDTA2020,JIA,QN82 Forest Park (JIA 82 Approximation),Forest Park (JIA 82 Approximation),Forest Park,QN82,Queens,,0,,,,,,,,,
CDTA2020,JIA,QN83 JFK International Airport (JIA 83 Approximation),JFK International Airport (JIA 83 Approximation),JFK International Airport,QN83,Queens,,0,,,,,,,,,
CDTA2020,JIA,QN84 Jamaica Bay East (JIA 84 Approximation),Jamaica Bay East (JIA 84 Approximation),Jamaica Bay East,QN84,Queens,"54,998",13,,100.0,,,,,,,
CDTA2020,CD,SI01 North Shore (CD 1 Equivalent),North Shore (CD 1 Equivalent),North Shore,SI01,Staten Island,"77,270","179,530",28.5,37.9,20.9,0.1,9.7,,0.2,2.7,
CDTA2020,CD,SI02 Mid-Island (CD 2 Approximation),Mid-Island (CD 2 Approximation),Mid-Island,SI02,Staten Island,"87,525","142,769",14.3,62.0,4.1,0.2,17.2,,0.2,2.1,
CDTA2020,CD,SI03 South Shore (CD 3 Approximation),South Shore (CD 3 Approximation),South Shore,SI03,Staten Island,"105,254","170,110",11.3,80.7,0.8,0.1,5.4,,0.2,1.5,
CDTA2020,JIA,SI95 Great Kills Park-Fort Wadsworth (JIA 95 Approximation),Great Kills Park-Fort Wadsworth (JIA 95 Approximation),Great Kills Park-Fort Wadsworth,SI95,Staten Island,"84,894",785,28.9,41.3,21.9,,4.6,,0.6,2.7,
