GeoType,NTAType,GeogName,GeoID,Borough,Pop_1E_TotalPop,MdHHIncE,MdEarningperWrkE,Hsp1E,Hsp1P-Hispanic,WtNHE,WtNHPWhite,BlNHE,BlNHP-Black,AIANNHE,AIANNHP-Am-Ind,AsnNHE,AsnNHP-Asian,NHPINHE,NHPINHP-NatHawaii-Pac-Is,OthNHE,OthNHP-Other,Rc2plNHE,Rc2plNHP-2more,EA_Pop25olderplE,EA_HScGrdE,EA_HScGrdP,EA_BchDHE,EA_BachandHigherDHP
NTA2020,0,Woodside,QN0203,Queens,"48,799",69581,"40,299","18,442",37.8,"8,969",18.4,336,0.7,29,0.1,"20,233",41.5,0,,153,0.3,637,1.3,"37,330","12,591",33.7,"11,041",29.6
NTA2020,0,Jackson Heights,QN0301,Queens,"93,703",63970,"38,329","48,790",52.1,"16,452",17.6,"2,551",2.7,54,0.1,"22,932",24.5,63,0.1,496,0.5,"2,365",2.5,"70,265","21,383",30.4,"21,601",30.7
NTA2020,0,East Elmhurst,QN0302,Queens,"25,017",68498,"32,556","13,987",55.9,"1,660",6.6,"4,907",19.6,43,0.2,"3,841",15.4,5,0,56,0.2,518,2.1,"18,032","6,396",35.5,"3,628",20.1
NTA2020,0,North Corona,QN0303,Queens,"42,928",70443,"28,964","36,418",84.8,894,2.1,"2,224",5.2,19,0,"3,131",7.3,0,,158,0.4,84,0.2,"27,927","10,100",36.2,"2,803",10
NTA2020,0,Elmhurst,QN0401,Queens,"104,009",62011,"31,383","43,852",42.2,"5,717",5.5,"1,345",1.3,345,0.3,"50,642",48.7,42,0,301,0.3,"1,765",1.7,"74,252","21,752",29.3,"22,218",29.9
NTA2020,0,Corona,QN0402,Queens,"73,657",57948,"29,133","51,612",70.1,"4,818",6.5,"5,746",7.8,48,0.1,"10,471",14.2,0,,389,0.5,573,0.8,"49,508","15,015",30.3,"7,694",15.5
NTA2020,0,Maspeth,QN0501,Queens,"43,999",83387,"48,535","15,129",34.4,"22,060",50.1,341,0.8,33,0.1,"5,419",12.3,0,,360,0.8,657,1.5,"30,355","9,881",32.6,"8,524",28.1
NTA2020,0,Ridgewood,QN0502,Queens,"73,527",74971,"41,546","34,729",47.2,"29,437",40,"1,677",2.3,0,,"5,945",8.1,0,,230,0.3,"1,509",2.1,"51,522","14,731",28.6,"16,479",32
NTA2020,0,Glendale,QN0503,Queens,"36,257",82228,"44,304","16,116",44.4,"17,673",48.7,470,1.3,30,0.1,"1,537",4.2,0,,64,0.2,367,1,"25,919","9,316",35.9,"6,729",26
NTA2020,0,Middle Village,QN0504,Queens,"37,098",89319,"49,399","7,666",20.7,"23,607",63.6,207,0.6,42,0.1,"4,447",12,0,,793,2.1,336,0.9,"27,656","7,522",27.2,"10,208",36.9
